"c.lambda_grid_1..lambda_grid_2..lambda_grid_3..lambda_grid_4.","X1","X2"
12,1.0685920736538,1478.76331520081
1.56394855735013,1.67929166301808,1772.11303329468
2.84026510797944,1.36808802236658,1718.71468114853
4.22684720089253,1.22894151383274,1672.37364721298
5.69923866459186,1.15701504813515,1634.90819478035
7.39712294272686,1.10938922229749,1580.11541700363
9.35687917886642,1.08253462172766,1494.9673242569
11.7078275791157,1.06863762283738,1474.53504180908
14.3674179452405,1.07171258614932,1411.98802137375
17.4686527410753,1.08943472613493,1367.08569717407
21.1369533577573,1.12171506048004,1311.42560267448
25.4642616595226,1.16456740082941,1238.51019048691
30.6678606681231,1.21518814054228,1177.07897281647
37.0776440531501,1.27572210531075,1066.335719347
45.4690159493063,1.35503721612997,941.360100746155
57.8506110253816,1.46303510173528,815.052901744843
7,1.11819067288958,1635.32112574577
7.66666666666667,1.10454569395898,1629.6049053669
8.33333333333333,1.09402801840985,1609.59069776535
9,1.08606558802508,1592.14368224144
9.66666666666667,1.07896744241151,1587.99312400818
10.3333333333333,1.0746497973492,1571.68418931961
11,1.07097476926633,1537.92185139656
11.6666666666667,1.06878320335383,1540.95458555222
12.3333333333333,1.06864798218102,1507.11883187294
13,1.06871562498668,1498.24200582504
13.6666666666667,1.06977311103076,1498.28604269028
14.3333333333333,1.0716362584207,1479.89205884933
15,1.07419442649456,1471.90446019173
15.6666666666667,1.07744135987172,1458.32993292809
16.3333333333333,1.08136472068757,1481.52860713005
17,1.08583078953049,1437.78683495522
11.3333333333333,1.07016263383107,1538.46674728394
11.4666666666667,1.06956661604817,1554.11453723907
11.6,1.06903039282415,1544.60254716873
11.7333333333333,1.0694165626815,1535.81909990311
11.8666666666667,1.06897778496722,1530.55029582977
12,1.0685920736544,1539.58063030243
12.1333333333333,1.06824976904428,1539.97988200188
12.2666666666667,1.06795201754156,1532.03266572952
12.4,1.06852437237061,1531.05118060112
12.5333333333333,1.06831687244822,1534.71407032013
12.6666666666667,1.06815668281583,1522.4978864193
12.8,1.06803451870898,1524.90063047409
12.9333333333333,1.0687452169227,1531.58551764488
13.0666666666667,1.06869740667238,1520.61935114861
13.2,1.06869341355336,1520.08417773247
13.3333333333333,1.06873904052615,1513.24978423119
12.1666666666667,1.06817054956414,1533.10235977173
12.18,1.06813981035165,1547.48449850082
12.1933333333333,1.06810961895075,1537.705098629
12.2066666666667,1.0680798688612,1533.07161927223
12.22,1.06805064748652,1541.15080833435
12.2333333333333,1.0680219321302,1541.58908390999
12.2466666666667,1.06799359548295,1538.8375878334
12.26,1.06796575040213,1537.3518371582
12.2733333333333,1.06793841095205,1538.0155172348
12.2866666666667,1.0687421193598,1531.57606005669
12.3,1.06871459096773,1523.32447385788
12.3133333333333,1.06868757042924,1516.87527704239
12.3266666666667,1.06866105360272,1538.56374120712
12.34,1.0686350354921,1522.49617934227
12.3533333333333,1.06860951107085,1528.72049999237
12.3666666666667,1.06858447160305,1529.42183923721
