"lambda","RMSE_validation","Time","Step"
1.56394855735013,3.66437768151251,12.1958179473877,"Step 1"
2.55595325828225,3.64187166426175,11.7699058055878,"Step 1"
3.59001358731367,3.53993454891815,23.1884989738464,"Step 1"
4.69401987719084,3.49254340766549,24.3571319580078,"Step 1"
5.86857203106969,3.44320429903361,24.1017520427704,"Step 1"
7.20768754902896,3.3883831836258,23.3458709716797,"Step 1"
8.66324794562575,3.17228602437213,35.1644921302795,"Step 1"
10.3370033955862,2.92719972330797,45.6969931125641,"Step 1"
12.2226157377769,2.66741890007614,58.5801739692688,"Step 1"
14.3674179452405,2.5481683800586,58.9601888656616,"Step 1"
16.6943474060332,2.29061464509697,68.848051071167,"Step 1"
19.4154391126303,2.17636609066848,72.1923820972443,"Step 1"
22.5305017144903,2.07281856294396,69.1483788490295,"Step 1"
25.9791241032505,1.98815113499832,76.2481980323792,"Step 1"
30.1110172050447,1.92442022606214,84.4593830108643,"Step 1"
34.91728351712,1.89289125204674,81.9564580917358,"Step 1"
40.5448643570903,1.89582042176665,77.3991928100586,"Step 1"
47.523960758292,1.92736944891905,82.8759729862213,"Step 1"
57.8506110253816,1.99091176302265,75.6122181415558,"Step 1"
29.91728351712,1.92656873776447,72.658833026886,"Step 2"
30.91728351712,1.91624678977804,66.8461558818817,"Step 2"
31.91728351712,1.9077931091805,71.414922952652,"Step 2"
32.91728351712,1.90116892823102,69.4209079742432,"Step 2"
33.91728351712,1.89631707426681,70.3449380397797,"Step 2"
34.91728351712,1.89289125204674,66.2086758613586,"Step 2"
35.91728351712,1.89092361879127,67.3710157871246,"Step 2"
36.91728351712,1.89022987612926,69.1995010375977,"Step 2"
37.91728351712,1.890533076746,67.4794938564301,"Step 2"
38.91728351712,1.8918267939812,370.951923847198,"Step 2"
39.91728351712,1.89401971502498,69.9834661483765,"Step 2"
35.91728351712,1.89092361879127,3705.83422994614,"Step 3"
36.01728351712,1.8908051387953,70.5339689254761,"Step 3"
36.11728351712,1.89070109888923,71.7408530712128,"Step 3"
36.21728351712,1.8906054702591,73.5833950042725,"Step 3"
36.31728351712,1.8905231865281,71.7554860115051,"Step 3"
36.41728351712,1.89044608613127,71.7445650100708,"Step 3"
36.51728351712,1.89038050790106,70.0460660457611,"Step 3"
36.61728351712,1.89032811933083,70.9931628704071,"Step 3"
36.71728351712,1.89028692511593,70.1505370140076,"Step 3"
36.81728351712,1.89025270985197,70.1990020275116,"Step 3"
36.91728351712,1.89022987612926,70.9084839820862,"Step 3"
37.01728351712,1.8902178136384,70.1550681591034,"Step 3"
37.11728351712,1.89021621693169,70.8079071044922,"Step 3"
37.21728351712,1.89021949113456,71.7346720695496,"Step 3"
37.31728351712,1.89022915008102,69.8008980751038,"Step 3"
37.41728351712,1.890255802882,70.7418398857117,"Step 3"
37.51728351712,1.8902938062106,71.2016830444336,"Step 3"
37.61728351712,1.89033627329385,75.4538469314575,"Step 3"
37.71728351712,1.8903937188315,77.5883538722992,"Step 3"
37.81728351712,1.89046022481909,75.0911929607391,"Step 3"
37.91728351712,1.890533076746,76.7832489013672,"Step 3"
37.01728351712,1.8902178136384,76.6061651706696,"Step 4"
37.02728351712,1.89021708239713,71.4827561378479,"Step 4"
37.03728351712,1.89021670458556,72.1481668949127,"Step 4"
37.04728351712,1.89021652752926,72.4842779636383,"Step 4"
37.05728351712,1.89021637700989,72.7241578102112,"Step 4"
37.06728351712,1.89021625301986,71.7911920547485,"Step 4"
37.07728351712,1.89021615555222,72.4885840415955,"Step 4"
37.08728351712,1.89021608459942,74.037849187851,"Step 4"
37.09728351712,1.89021606075355,70.3549342155457,"Step 4"
37.10728351712,1.8902160951987,71.9378781318665,"Step 4"
37.11728351712,1.89021621693169,71.1388540267944,"Step 4"
37.12728351712,1.89021636512598,71.107351064682,"Step 4"
37.13728351712,1.89021653978265,72.4240489006042,"Step 4"
37.14728351712,1.89021674088872,71.8795809745789,"Step 4"
37.15728351712,1.89021696843786,69.271201133728,"Step 4"
37.16728351712,1.89021722242512,70.6919980049133,"Step 4"
37.17728351712,1.89021746506915,78.8671119213104,"Step 4"
37.18728351712,1.8902177065702,77.7411370277405,"Step 4"
37.19728351712,1.89021814795614,74.9213311672211,"Step 4"
37.20728351712,1.89021880672176,3114.26762104034,"Step 4"
37.21728351712,1.89021949113428,77.7488090991974,"Step 4"
